 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
       4                4(4/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U45  (HS65_GS_BFX9)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U46  (HS65_GS_OAI21X6)
      10              10(10/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U47  (HS65_GS_NOR4ABX2)
       6                6(6/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U48  (HS65_GS_NAND2X7)
       6                6(6/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U49  (HS65_GS_NOR2X6)
       4                4(4/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U50  (HS65_GS_IVX9)
       4                4(4/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U51  (HS65_GS_IVX9)
      10              10(10/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U52  (HS65_GS_AOI112X4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U53  (HS65_GS_NOR3AX2)
       6                6(6/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U54  (HS65_GS_NOR2AX3)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U55  (HS65_GS_NOR3X4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U56  (HS65_GS_NAND3X5)
       4                4(4/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/U57  (HS65_GS_IVX9)
